x,y,z,radii
nan,nan,nan,nan
nan,nan,nan,nan
48.775431203872394,60.23264130243303,28.209486573433765,82.47902096974715
31.09520147892917,37.057818074954625,17.60725875279363,51.48018061622803
28.481242172444826,32.7639211935912,15.800901942692693,46.198746626590356
28.94639849039254,32.14823242266281,15.745248146758229,46.03602581315139
27.138674596679238,29.102665469020533,14.483421557967365,42.346691680601886
28.714057031875367,29.734276488418207,15.044894741164942,43.98832944420854
28.137810826947458,28.137810826947455,14.483421557967365,42.346691680601886
29.426307836922376,28.416655162133367,14.889069327113315,43.532726412947156
nan,nan,nan,nan
nan,nan,nan,nan
13.004970720106623,73.7548540096013,4.585851685680164e-15,74.8926415170972
16.400721628331794,84.3743983178454,5.263140557447808e-15,85.95360819319026
14.968733770237755,70.42235559622743,4.408461069916113e-15,71.99563291204379
18.140401907866355,78.57471321374133,4.937870861844426e-15,80.64155093995042
20.30331090810683,81.43213227788523,5.138928135064747e-15,83.92506539261228
20.20300134638331,75.39862749008495,4.779698673684856e-15,78.05840307609783
22.477655307634265,78.38889978352101,4.993370463745784e-15,81.54792822260856
22.34855654904664,73.09883470779009,4.680529579513921e-15,76.43884886275272
24.512945203888357,75.44308790168627,4.8572894740526425e-15,79.32555700851016
26.254320912082452,76.24808437886166,4.937870861844426e-15,80.64155093995042
25.87621605622049,71.09431931539491,4.632654799094909e-15,75.65699436474817
29.90086527313946,77.89441714793821,5.108994679204383e-15,83.43621496028837
31.255756253791393,77.36071139734321,5.108994679204383e-15,83.43621496028837
25.774355944246363,60.72057742883631,4.039156366840678e-15,65.96442941185812
37.267036491718315,83.70313441482966,5.610381770395969e-15,91.62448755514055
35.26166813274041,75.61889133937318,5.108994679204383e-15,83.43621496028837
28.049621052251403,57.51024579827455,3.918013182498966e-15,63.98601107236534
24.078898155105456,47.25749848019855,3.247661082066946e-15,53.03833046929277
21.998262135582614,41.372713790016334,2.8691941585641982e-15,46.85749655430191
18.724869892283735,33.78055949692393,2.3649852457944467e-15,38.62314011584469
22.61692672644522,39.17366620126558,2.769774692209137e-15,45.23385345289045
22.734583076505054,37.83670015402066,2.702890888159459e-15,44.14155804010294
20.746236369730568,33.20091841012708,2.397234227869475e-15,39.14980596100889
24.464198314942635,37.67156185299191,2.750445729553147e-15,44.9181875373065
25.205986807639867,37.369412213853906,2.7600878759132357e-15,45.07565573739165
24.45693262505022,34.92811957949166,2.6109078370419006e-15,42.63936081586489
26.402248194136323,36.33957707420193,2.750445729553147e-15,44.9181875373065
26.56505277387204,35.25301571963979,2.702890888159459e-15,44.14155804010294
28.044897614998966,35.89583202802956,2.7892840037178434e-15,45.55246468875518
29.17670713259722,36.03023267510026,2.8388688423068507e-15,46.36224655604182
27.033403297428027,32.21715549975801,2.5752184951417567e-15,42.056509630935615
30.202350393558028,34.74382971656818,2.818893582877039e-15,46.03602581315139
31.242787893307842,34.69863123246168,2.8590367729689046e-15,46.69161385894247
26.430196509972202,28.34291573709775,2.3730009815424498e-15,38.75404701493729
